img_path,gt
synthetic/synth_TX2VI_213.jpg,TX2VI
synthetic/synth_O2OWG_214.jpg,O2OWG
synthetic/synth_I1BCD_215.jpg,I1BCD
synthetic/synth_7ZAOO_216.jpg,7ZAOO
synthetic/synth_ZOOR9_217.jpg,ZOOR9
synthetic/synth_QWM93_218.jpg,QWM93
synthetic/synth_OSG7U_219.jpg,OSG7U
synthetic/synth_SZMGK_220.jpg,SZMGK
synthetic/synth_OZ2GZ_221.jpg,OZ2GZ
synthetic/synth_HR8G1_222.jpg,HR8G1
synthetic/synth_VEF0N_223.jpg,VEF0N
synthetic/synth_3L1VM_224.jpg,3L1VM
synthetic/synth_MRHHT_225.jpg,MRHHT
synthetic/synth_VGCZV_226.jpg,VGCZV
synthetic/synth_60YGE_227.jpg,60YGE
synthetic/synth_RZADG_228.jpg,RZADG
synthetic/synth_7AJMZ_229.jpg,7AJMZ
synthetic/synth_Q27BW_230.jpg,Q27BW
synthetic/synth_AJ77Z_231.jpg,AJ77Z
synthetic/synth_V71ZE_232.jpg,V71ZE
synthetic/synth_7Z0AM_233.jpg,7Z0AM
synthetic/synth_SY3YM_234.jpg,SY3YM
synthetic/synth_O2OXT_235.jpg,O2OXT
synthetic/synth_KV7W1_236.jpg,KV7W1
synthetic/synth_JSV5E_237.jpg,JSV5E
synthetic/synth_272WG_238.jpg,272WG
synthetic/synth_VF1VV_239.jpg,VF1VV
synthetic/synth_277K1_240.jpg,277K1
synthetic/synth_QG7ZJ_241.jpg,QG7ZJ
synthetic/synth_02ZS1_242.jpg,02ZS1
synthetic/synth_CDE0Q_243.jpg,CDE0Q
synthetic/synth_L1W9N_244.jpg,L1W9N
synthetic/synth_JDEGS_245.jpg,JDEGS
synthetic/synth_VC6Z2_246.jpg,VC6Z2
synthetic/synth_O77WZ_247.jpg,O77WZ
synthetic/synth_O07HW_248.jpg,O07HW
synthetic/synth_Q2DMF_249.jpg,Q2DMF
synthetic/synth_VVGOH_250.jpg,VVGOH
synthetic/synth_2WMZ0_251.jpg,2WMZ0
synthetic/synth_AL79D_252.jpg,AL79D
synthetic/synth_ZZ219_253.jpg,ZZ219
synthetic/synth_70O2K_254.jpg,70O2K
synthetic/synth_0729V_255.jpg,0729V
synthetic/synth_WZQ3Z_256.jpg,WZQ3Z
synthetic/synth_700JO_257.jpg,700JO
synthetic/synth_ZDE5A_258.jpg,ZDE5A
synthetic/synth_VE3S5_259.jpg,VE3S5
synthetic/synth_T2LM5_260.jpg,T2LM5
synthetic/synth_4FOC2_261.jpg,4FOC2
synthetic/synth_ZO2GM_262.jpg,ZO2GM
synthetic/synth_11UH7_263.jpg,11UH7
synthetic/synth_GL43V_264.jpg,GL43V
synthetic/synth_5OQYY_265.jpg,5OQYY
synthetic/synth_O77WA_266.jpg,O77WA
synthetic/synth_QQRE5_267.jpg,QQRE5
synthetic/synth_1KGVO_268.jpg,1KGVO
synthetic/synth_OQ7DD_269.jpg,OQ7DD
synthetic/synth_2O7H7_270.jpg,2O7H7
synthetic/synth_0BY11_271.jpg,0BY11
synthetic/synth_Q27GI_272.jpg,Q27GI
synthetic/synth_CYWQ9_273.jpg,CYWQ9
synthetic/synth_OO7ID_274.jpg,OO7ID
synthetic/synth_T9LBP_275.jpg,T9LBP
synthetic/synth_DCSOV_276.jpg,DCSOV
synthetic/synth_2CCO2_277.jpg,2CCO2
synthetic/synth_QQZWS_278.jpg,QQZWS
synthetic/synth_4RAS9_279.jpg,4RAS9
synthetic/synth_7Z7ZQ_280.jpg,7Z7ZQ
synthetic/synth_12ADG_281.jpg,12ADG
synthetic/synth_W7UJ1_282.jpg,W7UJ1
synthetic/synth_V4DHO_283.jpg,V4DHO
synthetic/synth_OOEYE_284.jpg,OOEYE
synthetic/synth_7OZVG_285.jpg,7OZVG
synthetic/synth_OOOJR_286.jpg,OOOJR
synthetic/synth_QOOJJ_287.jpg,QOOJJ
synthetic/synth_AOKQ3_288.jpg,AOKQ3
synthetic/synth_OZQYQ_289.jpg,OZQYQ
synthetic/synth_YVZOD_290.jpg,YVZOD
synthetic/synth_2QQ3U_291.jpg,2QQ3U
synthetic/synth_2QQBA_292.jpg,2QQBA
synthetic/synth_9OL6Q_293.jpg,9OL6Q
synthetic/synth_G4D2K_294.jpg,G4D2K
synthetic/synth_6G2DK_295.jpg,6G2DK
synthetic/synth_V2WBD_296.jpg,V2WBD
synthetic/synth_GDGEE_297.jpg,GDGEE
synthetic/synth_77O2R_298.jpg,77O2R
synthetic/synth_1DY1K_299.jpg,1DY1K
synthetic/synth_YT0DM_300.jpg,YT0DM
synthetic/synth_QOOFE_301.jpg,QOOFE
synthetic/synth_0VQU1_302.jpg,0VQU1
synthetic/synth_1E9ZH_303.jpg,1E9ZH
synthetic/synth_59MOK_304.jpg,59MOK
synthetic/synth_YV5WO_305.jpg,YV5WO
synthetic/synth_XJ9BH_306.jpg,XJ9BH
synthetic/synth_LWCKQ_307.jpg,LWCKQ
synthetic/synth_C2V26_308.jpg,C2V26
synthetic/synth_525T7_309.jpg,525T7
synthetic/synth_KVN4M_310.jpg,KVN4M
synthetic/synth_V1OQ5_311.jpg,V1OQ5
synthetic/synth_W22KI_312.jpg,W22KI
synthetic/synth_QZ227_313.jpg,QZ227
synthetic/synth_7QOVG_314.jpg,7QOVG
synthetic/synth_7YALW_315.jpg,7YALW
synthetic/synth_D6DKY_316.jpg,D6DKY
synthetic/synth_Q2ZJH_317.jpg,Q2ZJH
synthetic/synth_EGKBQ_318.jpg,EGKBQ
synthetic/synth_ZO2JC_319.jpg,ZO2JC
synthetic/synth_O8OEZ_320.jpg,O8OEZ
synthetic/synth_E55A2_321.jpg,E55A2
synthetic/synth_00OZ0_322.jpg,00OZ0
synthetic/synth_Q7QHW_323.jpg,Q7QHW
synthetic/synth_5QEPE_324.jpg,5QEPE
synthetic/synth_C25WX_325.jpg,C25WX
synthetic/synth_1YH90_326.jpg,1YH90
synthetic/synth_ZORO1_327.jpg,ZORO1
synthetic/synth_1UBGE_328.jpg,1UBGE
synthetic/synth_0ZZY6_329.jpg,0ZZY6
synthetic/synth_VEUG2_330.jpg,VEUG2
synthetic/synth_1CS17_331.jpg,1CS17
synthetic/synth_HEMJ1_332.jpg,HEMJ1
synthetic/synth_56DUX_333.jpg,56DUX
synthetic/synth_IOQLZ_334.jpg,IOQLZ
synthetic/synth_O72KT_335.jpg,O72KT
synthetic/synth_PBOE7_336.jpg,PBOE7
synthetic/synth_WUDCK_337.jpg,WUDCK
synthetic/synth_1O5ZH_338.jpg,1O5ZH
synthetic/synth_QMOME_339.jpg,QMOME
synthetic/synth_OCWQI_340.jpg,OCWQI
synthetic/synth_DHVDZ_341.jpg,DHVDZ
synthetic/synth_MGML2_342.jpg,MGML2
synthetic/synth_IEEKZ_343.jpg,IEEKZ
synthetic/synth_O1JHZ_344.jpg,O1JHZ
synthetic/synth_S31M2_345.jpg,S31M2
synthetic/synth_5CWBA_346.jpg,5CWBA
synthetic/synth_1A19A_347.jpg,1A19A
synthetic/synth_7HSWI_348.jpg,7HSWI
synthetic/synth_90A6A_349.jpg,90A6A
